City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rosetown,CA,56.98,clear sky,51.5501,-108.0014,Travelodge by Wyndham Rosetown
1,Samarai,PG,79.18,overcast clouds,-10.6167,150.6667,Nuli Sapi
2,Cape Town,ZA,63.27,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
3,Kristiansund,NO,60.85,scattered clouds,63.1115,7.732,Thon Hotels Storgata
4,Albany,US,66.67,overcast clouds,42.6001,-73.9662,
5,Ushuaia,AR,49.66,light rain,-54.8,-68.3,Albatros Hotel
6,Yellowknife,CA,42.42,overcast clouds,62.456,-114.3525,The Explorer Hotel
7,Port Alfred,ZA,62.56,clear sky,-33.5906,26.891,The Halyards Hotel
8,Zhongshu,CN,60.91,overcast clouds,24.5167,103.7667,Xintianlong Hotel
9,Busselton,AU,44.1,scattered clouds,-33.65,115.3333,Observatory Guest House
10,Tasiilaq,GL,27.9,broken clouds,65.6145,-37.6368,The Red House
11,Hofn,IS,47.3,overcast clouds,64.2539,-15.2082,Hótel Höfn
12,New Norfolk,AU,47.7,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
13,Tuktoyaktuk,CA,28.4,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
14,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
15,Katherine,AU,84.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
16,Nemuro,JP,56.26,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
17,Bourail,NC,65.48,clear sky,-21.5667,165.4833,Motel Allamanda
18,Port Lincoln,AU,52.79,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
19,Plettenberg Bay,ZA,57.09,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
20,Sena Madureira,BR,96.91,broken clouds,-9.0656,-68.6569,Hotel Central
21,Mehamn,NO,36.7,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
22,Sitka,US,48.09,moderate rain,57.0531,-135.33,Westmark Sitka
23,Griffith,US,82.89,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
24,Rikitea,PF,73.94,few clouds,-23.1203,-134.9692,People ThankYou
25,Kloulklubed,PW,75.7,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
26,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Kapaa,US,77.11,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Atuona,PF,78.12,few clouds,-9.8,-139.0333,Villa Enata
29,Esperance,AU,48.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
30,Lebu,CL,58.1,clear sky,-37.6167,-73.65,Hostal Las Lilas
31,Porbandar,IN,83.35,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
32,Chuy,UY,63.61,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
33,Mar Del Plata,AR,59.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
34,Baghdad,IQ,80.51,clear sky,33.3406,44.4009,Baghdad Hotel
35,Vanavara,RU,37.38,light rain,60.34,102.2797,
36,East London,ZA,63.54,light rain,-33.0153,27.9116,Tu Casa
37,Rumonge,BI,79.99,scattered clouds,-3.9736,29.4386,Kwetu Guest House
38,Bengkulu,ID,76.86,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
39,Saint-Francois,FR,54.84,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
40,Sola,VU,79.63,overcast clouds,-13.8833,167.55,Leumerus Bungalows
41,Barrow,US,26.83,overcast clouds,71.2906,-156.7887,King Eider Inn
42,Tuatapere,NZ,40.82,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
43,Maniitsoq,GL,33.98,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
44,Hithadhoo,MV,83.14,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Moose Factory,CA,71.6,few clouds,51.2585,-80.6094,Moosonee Lilypad
46,Hermanus,ZA,62.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
47,Punta Arenas,CL,62.71,light rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
48,Hilo,US,74.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
49,Waipawa,NZ,51.46,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
50,Tiksi,RU,21.7,overcast clouds,71.6872,128.8694,Arktika
51,Mabama,TZ,84.83,broken clouds,-5.1333,32.5333,
52,Tigil,RU,31.35,overcast clouds,57.8,158.6667,Tigil'
53,Paracuru,BR,84.22,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
