City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Rosetown,CA,51.5501,-108.0014,56.98,30,8,8.05,clear sky,0.0,0.0
1,Samarai,PG,-10.6167,150.6667,79.18,83,92,16.33,overcast clouds,0.0,0.0
2,Cape Town,ZA,-33.9258,18.4232,63.27,58,0,11.5,clear sky,0.0,0.0
3,Kristiansund,NO,63.1115,7.732,60.85,88,40,2.3,scattered clouds,0.0,0.0
4,Albany,US,42.6001,-73.9662,66.67,70,100,1.01,overcast clouds,0.0,0.0
5,Ushuaia,AR,-54.8,-68.3,49.66,62,40,9.22,light rain,0.4,0.0
6,Yellowknife,CA,62.456,-114.3525,42.42,99,90,10.36,overcast clouds,0.0,0.0
7,Port Alfred,ZA,-33.5906,26.891,62.56,69,0,18.25,clear sky,0.0,0.0
8,Zhongshu,CN,24.5167,103.7667,60.91,86,100,6.58,overcast clouds,0.0,0.0
9,Busselton,AU,-33.65,115.3333,44.1,80,30,8.75,scattered clouds,0.0,0.0
10,Tasiilaq,GL,65.6145,-37.6368,27.9,75,56,6.98,broken clouds,0.0,0.0
11,Hofn,IS,64.2539,-15.2082,47.3,84,100,3.38,overcast clouds,0.0,0.0
12,New Norfolk,AU,-42.7826,147.0587,47.7,63,43,3.0,scattered clouds,0.0,0.0
13,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,90,5.75,overcast clouds,0.0,0.0
14,Saint-Philippe,RE,-21.3585,55.7679,71.19,85,58,13.73,light rain,0.42,0.0
15,Katherine,AU,-14.4667,132.2667,84.52,65,100,6.91,overcast clouds,0.0,0.0
16,Nemuro,JP,43.3236,145.575,56.26,86,52,14.83,broken clouds,0.0,0.0
17,Bourail,NC,-21.5667,165.4833,65.48,75,2,4.05,clear sky,0.0,0.0
18,Port Lincoln,AU,-34.7333,135.8667,52.79,52,72,10.83,broken clouds,0.0,0.0
19,Plettenberg Bay,ZA,-34.0527,23.3716,57.09,77,38,7.07,scattered clouds,0.0,0.0
20,Sena Madureira,BR,-9.0656,-68.6569,96.91,34,80,3.04,broken clouds,0.0,0.0
21,Mehamn,NO,71.0357,27.8492,36.7,94,100,2.64,overcast clouds,0.0,0.0
22,Sitka,US,57.0531,-135.33,48.09,81,90,12.66,moderate rain,1.09,0.0
23,Griffith,US,41.5284,-87.4237,82.89,58,1,1.01,clear sky,0.0,0.0
24,Rikitea,PF,-23.1203,-134.9692,73.94,82,23,17.72,few clouds,0.0,0.0
25,Kloulklubed,PW,7.0419,134.2556,75.7,76,100,20.45,heavy intensity rain,11.22,0.0
26,Vaini,TO,-21.2,-175.2,69.96,94,75,5.75,broken clouds,0.0,0.0
27,Kapaa,US,22.0752,-159.319,77.11,70,75,7.0,light rain,0.12,0.0
28,Atuona,PF,-9.8,-139.0333,78.12,69,23,19.35,few clouds,0.0,0.0
29,Esperance,AU,-33.8667,121.9,48.04,56,88,5.64,overcast clouds,0.0,0.0
30,Lebu,CL,-37.6167,-73.65,58.1,72,6,10.31,clear sky,0.0,0.0
31,Porbandar,IN,21.6422,69.6093,83.35,79,92,3.8,overcast clouds,0.0,0.0
32,Chuy,UY,-33.6971,-53.4616,63.61,63,61,11.99,broken clouds,0.0,0.0
33,Mar Del Plata,AR,-38.0023,-57.5575,59.02,65,0,14.0,clear sky,0.0,0.0
34,Baghdad,IQ,33.3406,44.4009,80.51,18,0,9.22,clear sky,0.0,0.0
35,Vanavara,RU,60.34,102.2797,37.38,96,100,14.65,light rain,0.21,0.0
36,East London,ZA,-33.0153,27.9116,63.54,67,0,20.71,light rain,0.1,0.0
37,Rumonge,BI,-3.9736,29.4386,79.99,56,49,3.33,scattered clouds,0.0,0.0
38,Bengkulu,ID,-3.8004,102.2655,76.86,92,37,4.94,scattered clouds,0.0,0.0
39,Saint-Francois,FR,46.4154,3.9054,54.84,86,90,2.3,overcast clouds,0.0,0.0
40,Sola,VU,-13.8833,167.55,79.63,81,88,20.18,overcast clouds,0.0,0.0
